epoch,acc,relu,sigmoid 
1,0.103,0.9184,Lr: 0.1
2,0.103,0.9549,L2: 0
3,0.103,0.9668,
4,0.103,0.9727,
5,0.1973,0.9759,
6,0.69,0.9775,
7,0.8589,0.9783,
8,0.9007,0.9802,
9,0.9196,0.9808,
10,0.9331,0.9812,
11,0.9426,0.9814,
12,0.9496,0.9817,
13,0.9557,0.9813,
14,0.9598,0.9823,
15,0.9628,0.9827,
16,0.9656,0.9832,
17,0.968,0.9837,
18,0.9705,0.9833,
19,0.9717,0.9841,
20,0.9732,0.9846,
21,0.9748,0.9848,
22,0.9756,0.9848,
23,0.976,0.9848,
24,0.9761,0.9848,
25,0.977,0.9846,
26,0.9772,0.9847,
27,0.9781,0.9847,
28,0.9789,0.9847,
29,0.9793,0.9854,
30,0.9797,0.9854,
31,0.9799,0.9854,
32,0.9809,0.9855,
33,0.9812,0.9862,
34,0.9816,0.9853,
35,0.9818,0.9854,
36,0.9821,0.9854,
37,0.9823,0.9855,
38,0.9822,0.9853,
39,0.9824,0.9858,
40,0.9827,0.9858,
41,0.9831,0.9859,
42,0.9832,0.9861,
43,0.9832,0.9862,
44,0.9832,0.9866,
45,0.9838,0.9863,
46,0.9843,0.9863,
47,0.9844,0.9861,
48,0.9845,0.9864,
49,0.9848,0.9862,
50,0.9846,0.9864,
51,0.9847,0.9863,
52,0.9848,0.9863,
53,0.9849,0.9866,
54,0.9849,0.9866,
55,0.9852,0.9867,
56,0.9853,0.9869,
57,0.9854,0.9866,
58,0.9855,0.9871,
59,0.9856,0.987,
60,0.9856,0.9871,
