,2x1000 hidden neurons,
epoch,relu,normal
1,0.9092,0.8601
2,0.957,0.8844
3,0.9705,0.8915
4,0.9743,0.9193
5,0.9771,0.9149
6,0.9802,0.9199
7,0.9814,0.9321
8,0.9825,0.9371
9,0.9832,0.9445
10,0.984,0.9508
11,0.9844,0.9566
12,0.9843,0.9575
13,0.9845,0.9606
14,0.9849,0.9612
15,0.9853,0.9631
16,0.9853,0.9643
17,0.9859,0.9661
18,0.986,0.969
19,0.9866,0.9695
20,0.9869,0.9696
21,0.9869,0.9721
22,0.9875,0.9721
23,0.9876,0.9728
24,0.9879,0.9722
25,0.988,0.9734
26,0.9882,0.9737
27,0.9881,0.9729
28,0.9881,0.9711
29,0.9879,0.9729
30,0.988,0.9754
31,0.988,0.9763
32,0.988,0.975
33,0.988,0.9762
34,0.988,0.9768
35,0.988,0.9767
36,0.9881,0.9767
37,0.988,0.9765
38,0.988,0.9765
39,0.9881,0.9767
40,0.9881,0.9757
41,0.9879,0.9762
42,0.9879,0.9761
43,0.988,0.976
44,0.9881,0.9765
45,0.9882,0.9765
46,0.9883,0.9766
47,0.9881,0.9765
48,0.9883,0.9768
49,0.9884,0.9769
50,0.9884,0.9765
51,0.9883,0.9771
52,0.9883,0.9768
53,0.9883,0.9771
54,0.9882,0.9774
55,0.9882,0.9772
56,0.9882,0.9773
57,0.9884,0.9777
58,0.9882,0.978
59,0.9882,0.9777
60,0.9883,0.9782
61,,0.978
62,,0.9782
63,,0.9786
64,,0.9781
65,,0.9785
66,,0.9785
67,,0.9787
68,,0.9784
69,,0.9785
70,,0.9785
71,,0.9783
72,,0.9784
73,,0.978
74,,0.9783
75,,0.9782
76,,0.9787
77,,0.9779
78,,0.9784
79,,0.9781
80,,0.9786
81,,0.978
82,,0.9787
83,,0.9783
84,,0.9788
85,,0.9784
86,,0.979
87,,0.9786
88,,0.9791
89,,0.9787
90,,0.9792
91,,0.9787
92,,0.9792
93,,0.979
94,,0.9792
95,,0.9788
96,,0.9793
97,,0.9791
98,,0.9796
99,,0.9793
100,,0.98
